Energy(keV)	Reflection(#/keV)
5.5	3.02e-4
6.5	2.25e-4
7.5	1.90e-4
8.5	1.91e-4
9.5	1.94e-4
10.5	1.98e-4
11.5	2.17e-4
12.5	2.33e-4
13.5	2.41e-4
14.5	2.39e-4
15.5	2.41e-4
16.5	2.58e-4
17.5	2.45e-4
18.5	2.42e-4
19.5	2.32e-4
20.5	2.14e-4
21.5	2.09e-4
22.5	1.96e-4
23.5	1.80e-4
24.5	1.64e-4
25.5	1.48e-4
26.5	1.31e-4
27.5	1.13e-4
28.5	9.55e-5
29.5	8.08e-5
30.5	6.70e-5
31.5	5.57e-5
32.5	4.55e-5
33.5	3.67e-5
34.5	2.85e-5
35.5	2.18e-5
36.5	1.74e-5
37.5	1.35e-5
38.5	9.86e-6
39.5	7.12e-6
40.5	5.15e-6
41.5	3.77e-6
42.5	2.62e-6
43.5	1.86e-6
44.5	1.33e-6
45.5	8.73e-7
46.5	5.68e-7
47.5	3.84e-7
48.5	2.55e-7
49.5	1.73e-7